type	target	minutes	show	title
youtube	yKvpvWexDzw	12	Doug Bopst	Doug Bopst
youtube	-RYBNlTw_44	12	Venture Social	Venture Social
youtube	eBMOS09-qx4	12	Podcast UFO Live Shows	Podcast UFO Live Shows
youtube	K5a3xdjP8y0	12	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	7ZXIh90oPCw	12	London Real	London Real
youtube	IozNdHiBjJM	12	Revolutionary Change	Revolutionary Change
youtube	p8Ar9pc_twk	12	Unfiltered With S.A.M.	Kiriakou: Washington Has No Say in This War
youtube	xQvN03PMpYc	12	Unfiltered With S.A.M.	JOHN KIRIAKOU: Israel’s “Samson Option” Is Real
youtube	uXbZWktLmN4	11	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	D8iyS5huGMQ	11	Doug Bopst	Doug Bopst
youtube	liZKNcfothc	11	HR News Channel	HR News Channel
youtube	Gitzm_W-Uww	11	Viral Plug	John Kiriakou CIA Story Meme Compilation - PART 4
youtube	llAX3SdqsL0	11	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	Wp3CwqOz5ao	11	DDGeopolitics	DDGeopolitics
youtube	oV7Q8HTsQSM	11	Thom Hartmann Program	A Letter from John Kiriakou
youtube	lBfXxjFH4lw	11	Doug Bopst	Doug Bopst
youtube	sIpcxZJ1R4k	11	Revolutionary Change	Why Torture is Both Immoral AND Ineffective / John Kiriakou
youtube	ciSgcE0wogk	11	Chris Petracco	Interview(partial) with Former CIA Case Officer John Kiriakou
youtube	VkXrcTg4xgA	11	Viral Plug	John Kiriakou CIA Story Meme Compilation 8
youtube	8dL7BXbrWZ0	11	Breakpoint	Breakpoint
youtube	fZcvgrDcTdw	11	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	iyeT6AAK4lA	10	Revolutionary Change	Revolutionary Change
youtube	1oelJ0xN5AM	10	The Jimmy Dore Show	The Jimmy Dore Show
youtube	QB6eyGtAD1c	10	The Dr. Phil Podcast	“I exposed the CIA and went to prison” John Kiriakou
youtube	UQoQ1BC7FFA	10	The Honest Talk	The Honest Talk
youtube	ExPvVJQicuk	10	Tucker Carlson Network	Tucker Carlson Network
youtube	omqKumNTt74	10	Google Play Books	Google Play Books
youtube	xjH_6z96-Uo	10	Viral Plug	John Kiriakou CIA Story Meme Compilation 7
youtube	rjGkFSGrRO4	10	Doug Bopst	Doug Bopst
youtube	ybQ-x4y8ZEo	10	TCM Originals	TCM Originals
youtube	tSf7lSP5VjA	10	Newsmax	Newsmax
youtube	kyFexPbZlzk	10	The Dr. Phil Podcast	“Your job is to break the law”John Kiriakou CIA Whistleblower
youtube	Dg-Jg2wGFnY	10	Podcast UFO Live Shows	Podcast UFO Live Shows
youtube	n8iDa-IGDKk	10	Warren Smith - Secret Scho	Warren Smith - Secret Scho
youtube	bpyMh1pFcAY	10	Free Assange	Free Assange
youtube	RtLO5yZ6EhU	10	Viral Plug	John Kiriakou CIA Story Meme Compilation 6
youtube	u13Xn4k0u70	10	Truth Hurts Show	Truth Hurts Show
youtube	aKzlrQ0oCWg	10	The Carlos Watson Podcast	The Carlos Watson Podcast
youtube	z0loNZnAqyk	10	The Carlos Watson Podcast	John Kiriakou: CIA Torture Was Illegal & Useless
youtube	ol3UPWnqNAA	10	The Carlos Watson Podcast	The Carlos Watson Podcast
youtube	E5PBQ90TY-4	9	Doug Bopst	Doug Bopst
youtube	_AYU0D1JUig	9	RTM News	RTM News
youtube	n2LOvRIy-CM	9	Hang Out with Sean Hannity	Hang Out with Sean Hannity
youtube	XZy-TRd1yY0	9	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	FlVsyxDlkc8	9	Podcast Digest	Podcast Digest
youtube	hu8QgZGyOIQ	9	Unfiltered With S.A.M.	Unfiltered With S.A.M.
youtube	j89s1BAvK0o	9	Comedy Overload	Comedy Overload
youtube	vb8nK12TbnM	9	Valuetainment	Valuetainment
youtube	yVFuxHFq16s	9	London Real	Ukraine War: The Endgame Revealed - John Kiriakou
youtube	FSF4K6A8VyM	9	Human Rights Defense Cente	Human Rights Defense Cente
youtube	IqwXauqwSwQ	9	Megyn Kelly	Megyn Kelly
youtube	8f1JiIPjwSw	9	Podcast Summaries	John Kiriakou / Tucker Carlson Podcast Summary
youtube	v7c4xvvBYNw	9	The America Report	John Kiriakou Explains CIA's " Torture Program" To Joe Rogan
youtube	Nfa4sEDOgmQ	9	Podcast Summaries	Podcast Summaries
youtube	pPpNPJZiTMw	8	The Inquiry	The Inquiry
youtube	yXDhk3eIZZA	8	Styxhexenhammer666	Styxhexenhammer666
youtube	OVHqDdUefQ8	8	Democracy Now!	Democracy Now!
youtube	ga_wjLljvaM	8	Dalton Fischer Podcast	Dalton Fischer Podcast
youtube	88S43X0oUpE	8	环球时报 Global Times	环球时报 Global Times
youtube	_cORp-6Cavs	8	The Third Way - Orthodox T	CIA Whistleblower Exposes the Vatican - John Kiriakou
youtube	CmggvGQJyJw	8	Truth Hurts Show	Truth Hurts Show
youtube	ageQWTWtwmw	8	ANI News	ANI News
youtube	aHJuNGwf1C0	8	Breakpoint	Breakpoint
youtube	IosQZq652NE	8	Breaking News 24/7	Breaking News 24/7
youtube	3wxqeMSCttY	8	CovertAction Magazine	Silenced - John Kiriakou
youtube	IqGsmGY_hDY	8	Austin and Matt	Ex-CIA John Kiriakou: How "Access Agents" Infiltrate the 1%
youtube	CK1t_d0FWLg	374	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	2SIQ_Dg4HOk	94	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	nC0JNpqX_HY	90	The Deep Focus Show	The Deep Focus Show
youtube	RypVxybJzHo	84	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	WhCTh_N2ZfE	77	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	Z_cYfNCsUl4	77	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	lDOspNoh9IA	76	DeProgram Show with Ted Ra	DeProgram with Ted Rall and John Kiriakou: “France In Crisis”
youtube	UE-XS8gvwiM	76	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	JsS7xFWrR6o	74	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	wvk1YaH7xW8	74	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	LnuGCFlPKaI	73	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	YiPnxJE7vtk	72	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	MnwI7RsEqlk	71	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	u-8vskJZ_mE	71	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	2IPfeItwnb4	71	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	kVZsuWIrCsA	70	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	ryefwYfcDVY	70	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	Bg4Lkirhkp0	70	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	86XYgK4nal0	69	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	BZzv0jvOrIg	68	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	Htr-FhIuCKo	68	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	rUtq-Dx0LGo	68	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	XJPxC4mXVkM	67	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	dSPyBaQz8Yw	67	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	y1XO6M7lC2A	67	DeProgram Show with Ted Ra	DeProgram with Ted Rall and John Kiriakou: “France In Crisis”
youtube	_cAlUaDXSuI	66	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	u_K7Ab0PsdM	65	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	39xICxfs1Xg	64	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	vwweQtSlWCs	64	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	IGm-uWrcaRc	64	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	VQUnDT0pLTk	63	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	Jl-e9yAnTG0	61	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	V7-d0Y6eESc	61	DeProgram Show with Ted Ra	DeProgram with Ted Rall and John Kiriakou: “Gaza-istan?”
youtube	_uVF7K2KuZw	60	DeProgram Show with Ted Ra	DeProgram with Ted Rall and John Kiriakou: “Gaza-istan?”
youtube	c0crs_0HgAU	60	DeProgram Show with Ted Ra	Club Med Gaza / DeProgram with Ted Rall and John Kiriakou
youtube	75Fa5y2PaKY	60	DeProgram Show with Ted Ra	Regime Derange / DeProgram with Ted Rall and John Kiriakou
youtube	145C1-XphQs	60	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	0VbSt6pHILg	60	DeProgram Show with Ted Ra	Jordan Is Next / DeProgram with Ted Rall and John Kiriakou
youtube	UaGsDFC7E3c	59	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	T-Sex3kPJUA	59	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	0D-L8O6cuwI	59	DeProgram Show with Ted Ra	Club Med Gaza / DeProgram with Ted Rall and John Kiriakou
youtube	hw_Ta_maSFs	59	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	wM_qsmuiY5I	59	DeProgram Show with Ted Ra	Ecocide in Iran / DeProgram with Ted Rall and John Kiriakou
youtube	1mebPnYD1ko	59	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	lSX5xFPy53c	59	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	HNhvUJehZGo	58	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	0JhzkWOsd1s	58	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	cHidrQ_msEI	58	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	KpCXJcpsYAg	58	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	E9neBe4J3TE	58	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	tZ1gVL3EvcU	58	DeProgram Show with Ted Ra	Deprogram with Ted Rall and John Kiriakou: “Hamas Has Won"
youtube	rdzab0KqbA8	57	DeProgram Show with Ted Ra	The Fix Is In / DeProgram with Ted Rall and John Kiriakou
youtube	lg1k-9p0zT8	57	DeProgram Show with Ted Ra	The Fix Is In / DeProgram with Ted Rall and John Kiriakou
youtube	MK5zeJV8aqc	57	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	v9O8Ad-nL3Y	57	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	KqfGXMDtams	56	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	Cxd39y6-Aek	56	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	oE69sAdUisw	55	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	wSE9wdb21sA	53	The Deep Focus Show	The Deep Focus Show
youtube	ZhztQM2tuP8	52	The Deep Focus Show	The Deep Focus Show
youtube	NTxzYHQiY5c	52	The Deep Focus Show	The Deep Focus Show
youtube	oazTShMDcTo	51	The Deep Focus Show	The Deep Focus Show
youtube	kM0GV63SYxE	50	The Deep Focus Show	The Deep Focus Show
youtube	eW4mclDzLnk	49	John Kiriakou Podcast	John Kiriakou Podcast
youtube	M0gBPp6agJI	46	The Deep Focus Show	The Deep Focus Show
youtube	4M-DZrdQsAo	46	The Deep Focus Show	The Deep Focus Show
youtube	ajooPBe19Fc	41	The Deep Focus Show	The Deep Focus Show
youtube	0PpseUAcs-I	40	The JK Report	The JK Report
youtube	a-zcLxpie88	35	John Kiriakou Podcast	John Kiriakou Podcast
youtube	4OUCkluRD3g	32	The Deep Focus Show	The Deep Focus Show
youtube	swDJSeo-Et0	22	DeProgram Show with Ted Ra	John Kiriakou & Ted Rall's Live IRAN WAR Q&A / DeProgram Show
youtube	ECWpfM0cJDE	22	Deep Focus Network	Deep Focus Network
youtube	xtXIFRvv_xY	21	The Deep Focus Show	The Deep Focus Show
youtube	uRmZX8Psw8A	19	Deep Focus Report	John Kiriakou on Iran, Endless Wars and U.S. Foreign Policy
youtube	jNGeaQ5ZA28	11	DeProgram Show with Ted Ra	Ted Rall & John Kiriakou Iran War Viewer Q&A / DeProgram Show
youtube	aL2bZfMJnLE	11	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	sdltAgkEcrM	9	DeProgram Show with Ted Ra	Is War with Iran Imminent? / Ted Rall & John Kiriakou
youtube	2WIKj6XP27w	8	DeProgram Show with Ted Ra	John Kiriakou on CIA Coup Tactics, Trump's WMD, New MI6 Chief
youtube	-dnBFBNex6Q	8	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	kWTiAbJ2m2I	8	DeProgram Show with Ted Ra	Ted Rall & John Kiriakou React as Iran War Rages On
youtube	mxfzY6oMVig	7	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	GncMkStHa9Y	6	DeProgram Show with Ted Ra	DeProgram Show with Ted Ra
youtube	zroa2RWlUkA	6	The Deep Focus Show	The Deep Focus Show
youtube	X7B-IQ4MXFM	4	The Deep Focus Show	Israel Strikes Iran - John Kiriakou's Insights / DEEP FOCUS
audio	https://feeds.simplecast.com/HFfCVCG8	92	Abe Lincoln's Top Hat	Episode 572: Blowing the Whistle w/ John Kiriakou
audio	https://feeds.captivate.fm/atthemicshow/	128	At The Mic With Keith Malina	At The Mic With Keith Malina
audio	https://feeds.megaphone.fm/IRD7587717552	61	Borderland: Narcosis with Vi	Borderland: Narcosis with Vi
url	https://feed.podbean.com/capitalcoast/fe…	62	Capital & Coast	JAILED for Exposing CIA Secrets / John Kiriakou
audio	https://rss.buzzsprout.com/1502260.rss	85	Cigar Guys	Cigar Guys Episode 24 season 3
audio	https://anchor.fm/s/ef9dcb38/podcast/rss	40	Colonial Outcasts	Colonial Outcasts
audio	https://feeds.fireside.fm/crossingfaiths…	41	Crossing Faiths	162: John Kiriakou
audio	https://anchor.fm/s/e73cdce0/podcast/rss	34	Deep Shallow Dive	Deep Shallow Dive
audio	https://rss.libsyn.com/shows/32365/desti…	64	Epic Real Estate Investing	Epic Real Estate Investing
audio	https://www.spreaker.com/show/6855442/ep…	58	Eric A. Cinotti: Unplugged	Eric A. Cinotti: Unplugged
audio	https://feeds.acast.com/public/shows/63f…	79	Eyes Wide Open	Eyes Wide Open
url	https://www.omnycontent.com/d/playlist/5…	60	Eyewitness History	Eyewitness History
audio	https://rss.libsyn.com/shows/143186/dest…	53	Florida Men on Florida Man	Episode 366 - Snow White and the Secret Service
audio	https://feeds.megaphone.fm/WABC2521462439	30	Frank Morano Interviews & Mo	Frank Morano Interviews & Mo
audio	https://rss.buzzsprout.com/2109780.rss	87	GOLD SHIELDS	GOLD SHIELDS
audio	https://feeds.castos.com/k4rk5	28	Going Underground Hosted by	Going Underground Hosted by
audio	https://feeds.captivate.fm/history-told-…	65	History Told Forward: The St	History Told Forward: The St
url	https://media.rss.com/intelwithinpod/fee…	130	I Came With Fire	I Came With Fire
url	https://itsrainmakingtime.ch/feed/podcas…	70	It's Rainmaking Time!®	It's Rainmaking Time!®
audio	https://www.spreaker.com/show/1423846/ep…	135	Jay'sAnalysis	THEY Really Did THIS....John Kiriakou & Jay Dyer
audio	https://feeds.acast.com/public/shows/68e…	5	John Kiriakou's Dead Drop	John Kiriakou's Dead Drop
url	https://api.substack.com/feed/podcast/38…	50	LA Progressive	LA Progressive
audio	https://www.spreaker.com/show/5990774/ep…	58	Lehto Files - Investigating	Lehto Files - Investigating
audio	https://feeds.captivate.fm/lehtofiles/	58	Lehto Files - Investigating	Lehto Files - Investigating
audio	https://back.studeo.fm/podcasts/132/rss-…	43	Lionel Nation	Lionel Nation
audio	https://feeds.acast.com/public/shows/677…	77	MAD THAT w/ Harry Robinson &	CIA SPY VS 9/11 / JOHN KIRIAKOU
audio	https://feeds.captivate.fm/macroncheese/	60	Macro N Cheese	Spelunking the Deep State with John Kiriakou
audio	https://rss.amperwave.net/v2/feed/podcor…	64	Moment of Clarity	Moment of Clarity
url	https://feed.podbean.com/mypriceismylife…	91	My Price Is My Life With Jam	My Price Is My Life With Jam
url	https://www.omnycontent.com/d/playlist/e…	46	News Beat	News Beat
url	https://onthegroundshow.org/feed/podcast/	0	On the Ground w Esther Ivere	On the Ground w Esther Ivere
audio	https://www.spreaker.com/show/2914765/ep…	59	People's Republic	People's Republic
audio	https://feeds.castos.com/79j8v	49	PodSummarizer Weekly Newslet	(Summary) Joe Rogan Experience #2392 - John Kiriakou
audio	https://rss.buzzsprout.com/1798604.rss	53	Primary Sources	Primary Sources
audio	https://feeds.buzzsprout.com/1798604.rss	73	Primary Sources	Primary Sources
audio	https://anchor.fm/s/128d072c/podcast/rss	79	Real Coffee with Scott Adams	Real Coffee with Scott Adams
audio	https://www.spreaker.com/show/3510420/ep…	48	Reality Asserts Itself - Wit	Reality Asserts Itself - Wit
audio	https://www.spreaker.com/show/3478215/ep…	30	Reality Check with Ben Swann	Reality Check with Ben Swann
audio	https://anchor.fm/s/1120e1b00/podcast/rss	68	Reality Check with Ross Coul	Reality Check with Ross Coul
audio	https://rss.buzzsprout.com/2385051.rss	63	SaltCubeAnalytics	SaltCubeAnalytics
audio	https://feeds.soundcloud.com/users/sound…	28	SassMouthDames	A Star Was Born: Part One
audio	https://feeds.megaphone.fm/scotthortonsh…	35	Scott Horton Show - Just the	10/8/21 John Kiriakou on the Torture of Abu Zubaydah
audio	https://feeds.captivate.fm/sound-health-…	42	Sound Health Options - Richa	Sound Health Options - Richa
url	https://www.omnycontent.com/d/playlist/2…	65	Straight Talk with Mark Bour	Straight Talk with Mark Bour
audio	https://feeds.captivate.fm/talk-with-his…	29	Talk With History: Discover	Talk With History: Discover
audio	https://tellsomebody.libsyn.com/rss	58	Tell Somebody	Tell Somebody
audio	https://anchor.fm/s/ea4136c/podcast/rss	57	The Anchormen Show with Matt	The Anchormen Show with Matt
audio	https://anchor.fm/s/6838aa0/podcast/rss	58	The Antedote	Summary of Recent Phone Calls (Part 1)
audio	https://anchor.fm/s/fc419e50/podcast/rss	75	The Big Mig Show	Ex-CIA & Founder of Panquake, John Kiriakou /EP531
audio	https://rss.libsyn.com/shows/332183/dest…	36	The Brave Technologist	The Brave Technologist
audio	https://anchor.fm/s/1042dee5c/podcast/rss	50	The DeVory Darkins Show	The DeVory Darkins Show
audio	https://anchor.fm/s/b6d47248/podcast/rss	0	The Debrief	The Debrief
audio	https://rss2.flightcast.com/xmsftuzjjykc…	105	The Diary Of A CEO with Stev	The Diary Of A CEO with Stev
audio	https://anchor.fm/s/1012ec3d4/podcast/rss	35	The Disinfo Detox	The Disinfo Detox
audio	https://www.spreaker.com/show/6791777/ep…	87	The Hostile Zone with Eric A	The Hostile Zone with Eric A
audio	https://rss.buzzsprout.com/1599790.rss	59	The Independent Riot	The Independent Riot
url	https://podcasts.files.bbci.co.uk/p004t1…	23	The Interview	Former CIA Intelligence Officer - John Kiriakou
url	https://feed.podbean.com/theincrediblejo…	79	The JOJ	The JOJ
audio	https://www.spreaker.com/show/4788100/ep…	59	The Jeff Dornik Show	The Jeff Dornik Show
audio	https://anchor.fm/s/d0e0ff8/podcast/rss	14	The Kate Dalley Show	Interview with Ex CIA Whistleblower John Kiriakou
audio	https://feeds.acast.com/public/shows/the…	59	The Mechanic	S1E9 Kiriakou, John Kiriakou
audio	https://rss.art19.com/the-pete-santilli-…	61	The Pete Santilli Show	The Pete Santilli Show
audio	https://www.spreaker.com/show/4221519/ep…	59	The Sharin' Hour	The Sharin’ Hour 1/11/16: JOHN KIRIAKOU, ex-C.I.A.
audio	https://anchor.fm/s/10ca75334/podcast/rss	31	The Weekly Filibuster	The Weekly Filibuster
audio	https://feeds.megaphone.fm/thispastweeke…	141	This Past Weekend w/ Theo Vo	This Past Weekend w/ Theo Vo
audio	https://rss.libsyn.com/shows/467049/dest…	118	Tin Foil Hat With Sam Tripol	#959: Spy Vs Spy With John Kiriakou
audio	https://feeds.redcircle.com/4d07ef8e-d06…	36	Trip the Beltway Fantastic W	Trip the Beltway Fantastic W
audio	https://feeds.acast.com/public/shows/663…	78	USA & Co	USA & Co
audio	https://anchor.fm/s/4b8b7144/podcast/rss	61	Unauthorized Disclosure	Unauthorized Disclosure - Guest: John Kiriakou
url	https://feed.podbean.com/michaelkjaco/fe…	72	Unleashing Intuition Secrets	Unleashing Intuition Secrets
audio	https://anchor.fm/s/107adecf8/podcast/rss	84	Unwashed and Unruly	It’s a Big Club: Epstein and the Ruling Class
audio	https://anchor.fm/s/f2af30f0/podcast/rss	12	Vetted: The UFO Sleuth	Vetted: The UFO Sleuth
audio	https://anchor.fm/s/dbba71ac/podcast/rss	36	Virtuous Leaders with Dr. Jo	Virtuous Leaders with Dr. Jo
audio	https://rss.buzzsprout.com/1741657.rss	45	Whistleblower of the Week	Whistleblower of the Week
audio	https://whowhatwhy.libsyn.com/rss	19	WhoWhatWhy's Podcasts	It Takes a Whistleblower to Know One
audio	https://anchor.fm/s/4ed344f8/podcast/rss	72	Yung Flamingo Club	Yung Flamingo Club: John Kiriakou
audio	https://rss.buzzsprout.com/2289560.rss	51	con-sara-cy theories	con-sara-cy theories
url	https://api.substack.com/feed/podcast/80…	36	historicly	Whistleblower Witch Hunt with John Kiriakou
audio	https://anchor.fm/s/1bea3808/podcast/rss	75	what should we call it	John Kiriakou and People who suck
youtube	JyxFQVWJ3Eo	194	Due Dissidence and Liberty	Trump's UNHINGED Threat, Kiriakou SPILLS TEA on Israel, Dill
youtube	h9egQ2hYdjE	141	Voxera Production Official	Voxera Production Official
youtube	2M8u-MbN9jA	71	Truthwire	Where the Hell Is Panquake? Surveillance & The Technocratic
youtube	ygEFDZAXzWM	63	DMZ America Podcast	Scott Has Questions for John Kiriakou / DMZ America Podcast
youtube	SbOKQqFcexU	58	Dialogue Works	John Kiriakou: Israel Humiliates Itself - Middle East on the
youtube	uhketm9NKeM	55	Lee Camp - Unredacted Toni	CIA Whistleblower John Kiriakou Joins Lee Camp
youtube	gCNk9IqON4k	53.2	TRT World	20 Years After 9/11 / Inside America with Ghida Fakry
youtube	AqY21KZDOzg	53	Elizabeth Lane TV and John	Skinwalker Ranch, UFOs, USOs and Secret Projects
youtube	Rq_g3ox_VDU	53	Slow News Day	#FreeAssangeVigil Week 46.1 w/ John Kiriakou, Fiorella of Co
youtube	rWCw_et5fW0	37	The Deep Focus Show	Will Israel Use Nukes? Iran Threat & The Truth About “Good G
youtube	vhyQRc1vzkg	34.0	The Real News Network	We don't need the CIA - The Chris Hedges Report
youtube	y1iSbvokFA0	32.9	The Young Turks	Former CIA Agent Explains Why We Need To Break Up With Israe
youtube	djGUiuyziYE	30	Deep Focus Network	John Kiriakou: The Truth About America's Prison System
youtube	7qT2zkChC3w	29	Kim Iversen	Banks Are the New Thought Police – THIS Changes EVERYTHING /
youtube	2BBbL8AWrWc	25	American Exception	Late Imperial Blues – John Kiriakou (DCC85)
youtube	Tk9q6OCiFXY	24.2	TeleSUR English	Interviews from Washington DC - Whistleblower Denounces CIA
youtube	26E0z7up8ZI	24	acTVism Munich	Bezahlung für Begnadigungen? CIA Whistleblower Kiriakou über
youtube	uTpvKzNoaa4	20	Eb&Flow	Mehdi Hasan Presses John Kiriakou About His Politics / The E
youtube	7sKiso0Zyko	20	Neutrality Studies	This Is What They Don't Tell You About Iran / Harry Berger &
youtube	uqN6mNL-dfI	19	MintPress News	Former CIA Agent John Kiriakou Takes Us Inside The Saudi Ter
youtube	AsQUErTJYOE	17	Megyn Kelly	The TRUTH About "MK Ultra" and Why Conspiracy Theories Grow
youtube	m5jv4cA1oD0	14	Redacted	The CIA is FINISHED as we know it Trump is burning it down w
youtube	QOcImjrlc-E	12	Daniel Davis / Deep Dive	Trump's BULLY PULPIT NOT WORKING /Lt Col Daniel Davis & John
youtube	aulPxaV0M2g	12	Due Dissidence	Kiriakou: Israelis Asked EVERY PRESIDENT To ATTACK Iran! - w
youtube	Wqv5Spq3KH8	10.6	The Real News Network	CIA Torture Architects Settle With Victims to Avoid Trial
youtube	I3TYrERiRMA	10	Robin Hensel	John Kiriakou - Tackling Torture at the Top (11-12-15 Hamlin
youtube	B2pTbYqWYos	9.3	The Real News Network	CIA Whistleblower: John Brennan Is Out For Himself, Not the
youtube	kcHBXm1aWIM	9.2	Democracy Now!	Profiting from Pardons: Giuliani Aide Told CIA Whistleblower
youtube	r2oKRg0cVw4	9.1	CGTN America	The Heat: Crackdown on whistleblowers in the US Pt2
youtube	VB81AhUzTo8	9	MintPress News	John Kiriakou: Exposing CIA Torture & U.S War Crimes / State
youtube	62YZdb3Lj5o	8.9	LBC	CIA whistleblower on Epstein Files: Why no one will be broug
youtube	YfzSoVAuSwY	8.6	The Real News Network	CIA Whistleblower: Harvard Picks Torture Apologists Over Che
youtube	0hBoeUZ_3dc	8.2	The Young Turks	CIA Torture Whistleblower Gets 30 Months
youtube	-ZzRSvKhSF4	6.8	Democracy Now!	CIA Whistleblower: Biden Intel Pick Avril Haines Approved Ob
youtube	CcFmxrqBjb4	6.6	The Real News Network	Intelligence Agencies Are Gathering Information Against You
youtube	OXDE74alvzA	6.5	The Young Turks	CIA Agent Charged With Espionage Act by Justice Department
youtube	qHH5-GSoRRY	6.4	Fox Business	The whistleblower did not think this through: Former CIA whi
youtube	5-xgSQyOlg0	5.5	Democracy Now!	Silenced Film Explores the Human Toll of Obama's Crackdown o
youtube	FdnU_2u_FY4	5.0	Channel 4 News	CIA whistleblower faces jail term
youtube	ZpDc1hscfeQ	4.7	Democracy Now!	“She Tortured Just for the Sake of Torture”: CIA Whistleblow
youtube	egmGLaf76DM	4.6	Fox News	'YOU LIAR': Former CIA official calls Fauci's pardon 'unacce
youtube	kPCRVN3yjAA	4.5	Middle East Eye	Jeffrey Epstein was accused of being 'an access agent for th
youtube	HVtBEQIzLxk	4.4	The Young Turks	CIA Whistleblower's Tips On How Not to Get Killed in Jail
youtube	ogmHpa7Zf54	4.2	The Global Pulse News	Pakistan's Nukes Under US Control? Ex-CIA Officer John Kiria
youtube	SXfpRLeLH70	4.1	Fox News	CIA whistleblower: This is an insult to real whistleblowers
youtube	wcFcnNBYlSI	3.6	Fox News	CIA whistleblower: 'All it takes is a signature' to get Epst
youtube	ZAUTVOgCVzA	3.6	Fox News	Former CIA whistleblower on Durham probing Brennan's role in
youtube	MeMlE3ppJrs	2.8	Democracy Now!	If Gina Haspel Is Confirmed at CIA, the U.S. Would Be Giving
youtube	nxhsU5oCt4c	2.5	Al Jazeera English	Ex-CIA agent heads to prison for torture leak
youtube	e1VgVU63D6s	2	MintPress News	Former CIA officer John Kiriakou reveals why he exposed the
youtube	D3kxtqefUPg	2	CovertAction Magazine	Former CIA Counter Terrorism Specialist John Kiriakou on Rub
youtube	Ek6ot2JKi2g	2	CovertAction Magazine	Former CIA Counter Terrorism Specialist John Kiriakou: Final
youtube	dyo7Al7LJHs	2	Katie Halper	F*** Joe Biden! - CIA Whistleblower John Kiriakou
youtube	06ioehKOpRI	2	Katie Halper	Why Edward Snowden Is NOT A TRAITOR w/ CIA Whistleblower Joh
youtube	6DYjq-aDLKA	2.0	CGTN America	Assange: political prisoner or criminal?
youtube	cMncTyJAdQg	1.9	JewishNewsOne	Former CIA officer sentenced for leaks
youtube	DGsZLJx0mbY	1.4	AP Archive	US government leak crackdown snags ex-CIA officer
